"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"LINC02712" 0 0.914731910870756 0.838 0.726 0 "0" "LINC02712"
"ST6GALNAC3" 0 0.865801512813694 0.96 0.829 0 "0" "ST6GALNAC3"
"AC008691.1" 0 0.812922308229112 0.883 0.788 0 "0" "AC008691.1"
"AC008050.1" 0 0.744289808630046 0.765 0.687 0 "0" "AC008050.1"
"GRID2" 0 0.723593270918809 0.892 0.847 0 "0" "GRID2"
"TANC1" 0 0.644479260381952 0.786 0.644 0 "0" "TANC1"
"CCDC26" 0 0.620294851766744 0.956 0.923 0 "0" "CCDC26"
"P2RY12" 0 0.586416677940305 0.93 0.846 0 "0" "P2RY12"
"PTCHD4" 0 0.579018842415598 0.683 0.615 0 "0" "PTCHD4"
"CX3CR1" 0 0.570024058922845 0.84 0.791 0 "0" "CX3CR1"
"NAV3" 0 0.562906303035899 0.94 0.827 0 "0" "NAV3"
"KHDRBS3" 0 0.562063283665188 0.84 0.733 0 "0" "KHDRBS3"
"FOXP2" 0 0.524674912291102 0.804 0.696 0 "0" "FOXP2"
"PTPN14" 0 0.514769509943304 0.714 0.592 0 "0" "PTPN14"
"LINC02232" 0 0.482931333960611 0.817 0.739 0 "0" "LINC02232"
"PIP5K1B" 0 0.445167220790344 0.719 0.69 0 "0" "PIP5K1B"
"KBTBD12" 0 0.438623705371655 0.785 0.746 0 "0" "KBTBD12"
"AC025569.1" 0 0.437552516512124 0.886 0.854 0 "0" "AC025569.1"
"PRDM11" 0 0.434717691909669 0.7 0.678 0 "0" "PRDM11"
"IGSF21" 0 0.432962438772888 0.779 0.612 0 "0" "IGSF21"
"RASGEF1C" 0 0.407172166598557 0.657 0.462 0 "0" "RASGEF1C"
"OXR1" 0 0.39881510660825 0.92 0.855 0 "0" "OXR1"
"SERPINB9" 0 0.384043353996191 0.63 0.595 0 "0" "SERPINB9"
"RASSF8" 0 0.383102158491283 0.721 0.647 0 "0" "RASSF8"
"IL1RAP" 0 0.374516631121277 0.643 0.547 0 "0" "IL1RAP"
"P3H2" 0 0.368840659625111 0.733 0.744 0 "0" "P3H2"
"PLCXD3" 0 0.361797065007932 0.651 0.568 0 "0" "PLCXD3"
"OSBPL6" 0 0.359180778530753 0.733 0.716 0 "0" "OSBPL6"
"CGNL1" 0 0.359006233159667 0.797 0.776 0 "0" "CGNL1"
"SDK1" 0 0.348665916219027 0.839 0.738 0 "0" "SDK1"
"ST6GAL1" 0 0.347583557249074 0.976 0.91 0 "0" "ST6GAL1"
"KCNIP1" 0 0.345705523906674 0.78 0.732 0 "0" "KCNIP1"
"CA8" 0 0.341357290696006 0.634 0.505 0 "0" "CA8"
"LINC02798" 0 0.339437911481297 0.777 0.691 0 "0" "LINC02798"
"LINC01684" 0 0.335645565661061 0.797 0.719 0 "0" "LINC01684"
"AC008014.1" 0 0.325064227308136 0.927 0.914 0 "0" "AC008014.1"
"ZEB1" 0 0.311718846374085 0.784 0.727 0 "0" "ZEB1"
"PARD3B" 0 0.311351609466183 0.835 0.74 0 "0" "PARD3B"
"KIF26B" 0 0.31049951313168 0.854 0.803 0 "0" "KIF26B"
"MARCH3" 0 0.300406905832854 0.808 0.753 0 "0" "MARCH3"
"PRKCA" 0 0.299834298226158 0.832 0.73 0 "0" "PRKCA"
"MIR646HG" 0 0.298782986869161 0.784 0.69 0 "0" "MIR646HG"
"CAMK2D" 0 0.296343800555566 0.818 0.728 0 "0" "CAMK2D"
"MIR222HG" 0 0.294364995898168 0.694 0.639 0 "0" "MIR222HG"
"NEK10" 0 0.291163554515298 0.703 0.612 0 "0" "NEK10"
"PLD1" 0 0.290134252147211 0.874 0.838 0 "0" "PLD1"
"SRGAP1" 0 0.287993179380487 0.757 0.636 0 "0" "SRGAP1"
"PELI1" 0 0.287758398389864 0.814 0.687 0 "0" "PELI1"
"SYNDIG1" 0 0.287202121061094 0.991 0.953 0 "0" "SYNDIG1"
"MORC1" 0 0.271147669905558 0.851 0.813 0 "0" "MORC1"
"MAP2K6" 0 0.2675420323996 0.855 0.817 0 "0" "MAP2K6"
"HIVEP3" 0 0.257084682825953 0.869 0.781 0 "0" "HIVEP3"
"LINC02391" 0 0.250616216076482 0.687 0.613 0 "0" "LINC02391"
"TNS1" 0 -0.251485080118705 0.741 0.72 0 "0" "TNS1"
"SESTD1" 0 -0.254536900933605 0.817 0.8 0 "0" "SESTD1"
"SUSD1" 0 -0.26619547002487 0.501 0.616 0 "0" "SUSD1"
"MPPED2" 0 -0.270062041558325 0.649 0.758 0 "0" "MPPED2"
"RPS6" 0 -0.28141131932912 0.392 0.544 0 "0" "RPS6"
"CD9" 0 -0.281472586519812 0.796 0.8 0 "0" "CD9"
"SERINC5" 0 -0.287890333513739 0.615 0.679 0 "0" "SERINC5"
"CDH20" 0 -0.293163388057737 0.615 0.694 0 "0" "CDH20"
"AC092691.1" 0 -0.298765847611207 0.67 0.727 0 "0" "AC092691.1"
"RGCC" 0 -0.305902576052061 0.795 0.778 0 "0" "RGCC"
"LILRB5" 0 -0.306835638312276 0.613 0.68 0 "0" "LILRB5"
"RPLP2" 0 -0.32075191525354 0.541 0.612 0 "0" "RPLP2"
"CCDC170" 0 -0.323284095813203 0.59 0.743 0 "0" "CCDC170"
"SDCBP" 0 -0.327382604594843 0.416 0.56 0 "0" "SDCBP"
"AC100849.1" 0 -0.334036186893609 0.716 0.732 0 "0" "AC100849.1"
"HERPUD1" 0 -0.335586386395879 0.54 0.652 0 "0" "HERPUD1"
"SASH1" 0 -0.335661478382901 0.634 0.699 0 "0" "SASH1"
"ADGRL3" 0 -0.340664077463525 0.701 0.752 0 "0" "ADGRL3"
"TRHDE" 0 -0.341244043322584 0.744 0.781 0 "0" "TRHDE"
"NAMPT" 0 -0.343157514271985 0.503 0.614 0 "0" "NAMPT"
"ASTN2" 0 -0.345141242781853 0.663 0.783 0 "0" "ASTN2"
"RPL11" 0 -0.347586153261238 0.351 0.487 0 "0" "RPL11"
"PRKG1" 0 -0.348924106787222 0.893 0.898 0 "0" "PRKG1"
"CEBPD" 0 -0.364193262644626 0.463 0.553 0 "0" "CEBPD"
"HSPB1" 0 -0.369341013204869 0.468 0.566 0 "0" "HSPB1"
"MGLL" 0 -0.400267743979158 0.68 0.817 0 "0" "MGLL"
"BCL6" 0 -0.431369389954998 0.545 0.618 0 "0" "BCL6"
