"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC008691.1",0,0.75015180754187,0.859,0.74,0,"0","AC008691.1"
"MICOS10",0,0.578705820709817,0.991,0.971,0,"0","MICOS10"
"RASGEF1C",0,0.565627686570415,0.952,0.917,0,"0","RASGEF1C"
"SYNDIG1",0,0.551938467380866,0.968,0.896,0,"0","SYNDIG1"
"RASSF8",0,0.516278163862341,0.971,0.947,0,"0","RASSF8"
"AC011586.2",0,0.507871826724672,0.989,0.984,0,"0","AC011586.2"
"LINC02712",0,0.492610764401248,0.842,0.831,0,"0","LINC02712"
"P3H2",0,0.487701367807893,0.864,0.834,0,"0","P3H2"
"TANC1",0,0.486826400339479,0.887,0.846,0,"0","TANC1"
"PTCHD4",0,0.485320565717127,0.83,0.742,0,"0","PTCHD4"
"LINC02232",0,0.480507778893015,0.979,0.966,0,"0","LINC02232"
"FOXP2",0,0.467266089128112,0.971,0.956,0,"0","FOXP2"
"SERPINB9",0,0.46490271874464,0.884,0.87,0,"0","SERPINB9"
"HS3ST4",0,0.457887297257692,0.95,0.862,0,"0","HS3ST4"
"KHDRBS3",0,0.457282048712791,0.926,0.911,0,"0","KHDRBS3"
"HSPA1A",0,0.454311749528538,0.998,0.995,0,"0","HSPA1A"
"LINC01684",0,0.441526184475423,0.938,0.899,0,"0","LINC01684"
"IL6ST",0,0.431070697922328,0.982,0.96,0,"0","IL6ST"
"AC008050.1",0,0.418884155654008,0.771,0.67,0,"0","AC008050.1"
"AC087564.1",0,0.40261356800141,0.888,0.81,0,"0","AC087564.1"
"CX3CR1",0,0.393542802455346,0.967,0.965,0,"0","CX3CR1"
"ERC2",0,0.393115606769812,0.857,0.742,0,"0","ERC2"
"XKR6",0,0.39100101645176,0.908,0.835,0,"0","XKR6"
"PFKFB3",0,0.386710886490655,0.833,0.718,0,"0","PFKFB3"
"CMSS1",0,0.375084067913136,0.951,0.901,0,"0","CMSS1"
"CCDC26",0,0.362487244925839,0.708,0.629,0,"0","CCDC26"
"XACT",0,0.356991916645272,0.929,0.89,0,"0","XACT"
"KLF12",0,0.355958250478787,0.816,0.731,0,"0","KLF12"
"IRF8",0,0.34918726366311,0.797,0.723,0,"0","IRF8"
"SETBP1",0,0.336558413072042,0.904,0.845,0,"0","SETBP1"
"ZEB1",0,0.329347274705797,0.749,0.678,0,"0","ZEB1"
