ensembl_gene_id	pval	logFC	ci.hi	ci.lo	gene_biotype	gene	percentage_gene_gc_content	padj	contrast	reference	FCRO	model	variance	variance_rank
ENSG00000099250	1.41028128035014e-12	1.61566154565544	2.21868890652873	1.01263418478214	protein_coding	NRP1	41.34	5.20252764321168e-09	diagnosisAD	CTR	2685	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.46507413338181	410
ENSG00000157657	1.39934380119979e-11	0.645809478516171	0.87543216057313	0.416186796459213	protein_coding	ZNF618	45.61	1.72072642754201e-08	diagnosisAD	CTR	384	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.16536248345261	1736
ENSG00000171643	1.02339691557634e-11	-0.944712524295036	-0.664943996799414	-1.22448105179066	protein_coding	S100Z	43.71	1.72072642754201e-08	diagnosisAD	CTR	1075	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.69577353908412	1229
ENSG00000007237	1.19946368908086e-10	1.92681330382393	2.49186997276589	1.36175663488198	protein_coding	GAS7	47.97	9.76278482069696e-08	diagnosisAD	CTR	291	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.21048408418292	434
ENSG00000168675	1.32322917060138e-10	-2.00343836806539	-1.321749275844	-2.68512746028678	protein_coding	LDLRAD4	46.44	9.76278482069696e-08	diagnosisAD	CTR	1185	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	12.3578266895015	87
ENSG00000176124	4.34224108387458e-10	1.1174996268989	1.6444964398648	0.590502813933012	lncRNA	DLEU1	39.63	2.66975455973555e-07	diagnosisAD	CTR	135	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	89.0004507670897	1
ENSG00000157483	5.45315067547646e-10	0.782555259467205	1.08347116783256	0.48163935110185	protein_coding	MYO1E	43.51	2.87381040597609e-07	diagnosisAD	CTR	388	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.63379555636114	762
ENSG00000067066	8.57791274496199e-09	-0.814921839444852	-0.455484708216021	-1.17435897067368	protein_coding	SP100	39.21	3.68201054083251e-06	diagnosisAD	CTR	589	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	5.78476524827098	287
ENSG00000102572	9.98105324161699e-09	-0.318722629168359	-0.203404333263451	-0.434040925073266	protein_coding	STK24	47.42	3.68201054083251e-06	diagnosisAD	CTR	2697	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.383773667293774	3228
ENSG00000167522	9.91203374916346e-09	-0.993860903530881	-0.5983398476472	-1.38938195941456	protein_coding	ANKRD11	51.19	3.68201054083251e-06	diagnosisAD	CTR	920	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.84995622250666	370
ENSG00000143398	1.42489669468928e-08	-0.555556107705267	-0.351539173947192	-0.759573041463342	protein_coding	PIP5K1A	45.21	4.77858536973524e-06	diagnosisAD	CTR	627	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.779238730026421	2330
ENSG00000204138	1.62896340768398e-08	0.375252873845457	0.520266194117097	0.230239553573817	protein_coding	PHACTR4	42.87	5.00770500912185e-06	diagnosisAD	CTR	3614	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.09066297082939	1832
ENSG00000120071	2.25525392558606e-08	-0.492066377610836	-0.211596773187518	-0.772535982034154	protein_coding	KANSL1	40.92	6.39971671652846e-06	diagnosisAD	CTR	1013	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	9.00399368556206	150
ENSG00000055130	2.83132074493013e-08	-0.605216818582015	-0.316161130902587	-0.894272506261443	protein_coding	CUL1	41.21	7.4341784007725e-06	diagnosisAD	CTR	892	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	5.28706928682821	321
ENSG00000070882	3.19074024112709e-08	1.07785779495768	1.40215351932588	0.753562070589477	protein_coding	OSBPL3	40.72	7.4341784007725e-06	diagnosisAD	CTR	437	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.12263662315109	964
ENSG00000123983	3.22436580136514e-08	-0.326454548243465	-0.210307083420795	-0.442602013066134	protein_coding	ACSL3	39.46	7.4341784007725e-06	diagnosisAD	CTR	1417	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.643072388764421	2594
ENSG00000059377	3.71147503346917e-08	-0.822364132964382	-0.446604507975423	-1.19812375795334	protein_coding	TBXAS1	44.8	7.60646188803764e-06	diagnosisAD	CTR	2623	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.64977947100201	521
ENSG00000168461	3.70106582536759e-08	-0.962163516415967	-0.614974657975571	-1.30935237485636	protein_coding	RAB31	43.6	7.60646188803764e-06	diagnosisAD	CTR	2809	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	16.1634978387187	56
ENSG00000142512	4.18400015157016e-08	-0.5209472680821	-0.220510324867064	-0.821384211297136	protein_coding	SIGLEC10	53.94	8.1235666100749e-06	diagnosisAD	CTR	3245	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.48875384269642	809
ENSG00000138639	4.4648668361627e-08	0.433557604741301	0.732741415201794	0.134373794280808	protein_coding	ARHGAP24	36.75	8.1243168544511e-06	diagnosisAD	CTR	3401	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	17.1274674983725	51
ENSG00000187672	4.62484830424161e-08	-2.01452280477106	-1.06117135223587	-2.96787425730625	protein_coding	ERC2	40.68	8.1243168544511e-06	diagnosisAD	CTR	592	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	17.9349275273301	45
ENSG00000132122	5.26486848371593e-08	-1.72810600552564	-0.970716348142847	-2.48549566290844	protein_coding	SPATA6	37.04	8.8282271983764e-06	diagnosisAD	CTR	1244	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	15.1462973722247	67
ENSG00000183826	6.24904174780771e-08	-0.492221889189613	-0.262132952845539	-0.722310825533688	protein_coding	BTBD9	40.63	1.0022919568549e-05	diagnosisAD	CTR	3145	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.14932947741955	1755
ENSG00000172985	6.78847970158422e-08	-1.26179679543172	-0.396805779902432	-2.126787810961	protein_coding	SH3RF3	48.61	1.04344590079768e-05	diagnosisAD	CTR	1411	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	15.6246366753825	61
ENSG00000119242	1.15119477023841e-07	-0.239774738284415	-0.0903234867732924	-0.389225989795537	protein_coding	CCDC92	47.49	1.6987030029638e-05	diagnosisAD	CTR	1840	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.71484926046572	509
ENSG00000250903	1.30095741366662e-07	-0.42601611776727	-0.240984275881926	-0.611047959652615	lncRNA	GMDS-DT	42.29	1.84585842269852e-05	diagnosisAD	CTR	420	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.41191797289346	845
ENSG00000099954	1.56537261546079e-07	-0.458072180539788	-0.147709108777303	-0.768435252302272	protein_coding	CECR2	44.03	2.13876280682773e-05	diagnosisAD	CTR	783	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.18974167182433	435
ENSG00000125844	1.69833030548014e-07	-0.505085510666575	-0.279736097881336	-0.730434923451814	protein_coding	RRBP1	52.51	2.16367325896752e-05	diagnosisAD	CTR	644	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.15099800573665	617
ENSG00000153046	1.70090876958683e-07	-0.676906917500898	-0.448043054911702	-0.905770780090094	protein_coding	CDYL	42.04	2.16367325896752e-05	diagnosisAD	CTR	3366	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.93125425216658	2060
ENSG00000003756	1.86571467003406e-07	0.417542670965454	0.571840631168467	0.26324471076244	protein_coding	RBM5	44.45	2.20200463327683e-05	diagnosisAD	CTR	879	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.997917939971149	1964
ENSG00000107719	1.91011516033772e-07	-1.29698773062649	-0.679773692046163	-1.91420176920681	protein_coding	PALD1	52.22	2.20200463327683e-05	diagnosisAD	CTR	1298	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	9.26853402062421	140
ENSG00000146535	1.9068233590547e-07	-0.113774750519371	-0.0461652649711405	-0.181384236067602	protein_coding	GNA12	45.86	2.20200463327683e-05	diagnosisAD	CTR	595	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.189407959800392	3632
ENSG00000132334	2.27630146670999e-07	-0.543500753376586	-0.281927036392716	-0.805074470360456	protein_coding	PTPRE	47.89	2.54462912445247e-05	diagnosisAD	CTR	6	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.09233734694987	976
ENSG00000176809	2.44091768246823e-07	-0.951322462358801	-0.544413029959461	-1.35823189475814	protein_coding	LRRC37A3	42.46	2.62120069423665e-05	diagnosisAD	CTR	633	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	5.47701880181656	305
ENSG00000178950	2.48690767954141e-07	-0.369349554144287	-0.181128625276958	-0.557570483011616	protein_coding	GAK	56.5	2.62120069423665e-05	diagnosisAD	CTR	2183	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.33913071420161	877
ENSG00000065060	2.7478052433489e-07	0.326475387881545	0.464789222702817	0.188161553060273	protein_coding	UHRF1BP1	42.65	2.81573709519836e-05	diagnosisAD	CTR	2743	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.704369708404384	2466
ENSG00000132405	2.87983683580595e-07	-1.62081173234051	-0.695459537862278	-2.54616392681873	protein_coding	TBC1D14	49.5	2.87127515872653e-05	diagnosisAD	CTR	3628	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	20.0898772554461	31
ENSG00000152348	3.14814499387968e-07	-0.514075479835946	-0.208297661689007	-0.819853297982884	protein_coding	ATG10	38.03	2.97782227754414e-05	diagnosisAD	CTR	2290	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.86103568049714	1127
ENSG00000227531	3.07281001578298e-07	-0.533496418067201	-0.0907617019594817	-0.976231134174921	lncRNA	AL162414.1	38.06	2.97782227754414e-05	diagnosisAD	CTR	1319	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.15427947996825	616
ENSG00000155465	3.25211121216462e-07	-0.233082059657336	-0.119942693370347	-0.346221425944324	protein_coding	SLC7A7	47.24	2.99925956541882e-05	diagnosisAD	CTR	1423	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.992292031793562	1975
ENSG00000165246	3.53188967312237e-07	-3.24033908740314e-10	9.39698457349223e-07	-9.40346525166704e-07	protein_coding	NLGN4Y	38.63	3.17783926930449e-05	diagnosisAD	CTR	3135	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	17.556246408493	47
ENSG00000228696	3.79532136532627e-07	-3.62680329946467	-2.0237287211868	-5.22987787774253	protein_coding	ARL17B	43.65	3.33355726587824e-05	diagnosisAD	CTR	2812	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	24.3879825159323	22
ENSG00000137462	4.74488088187554e-07	-1.30950992686097	-0.718247848390186	-1.90077200533176	protein_coding	TLR2	38.89	4.07066641238113e-05	diagnosisAD	CTR	1428	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	12.3571677930145	88
ENSG00000108557	5.26212128397831e-07	-0.154945732437475	-0.0700654125327628	-0.239826052342187	protein_coding	RAI1	56.45	4.41181032195363e-05	diagnosisAD	CTR	1209	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.375272075932065	3245
ENSG00000157764	6.48474272106749e-07	-0.245393339330043	-0.0910968197319605	-0.399689858928126	protein_coding	BRAF	38	5.31604797733733e-05	diagnosisAD	CTR	2205	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.636872603546534	2616
ENSG00000133121	6.87263321659016e-07	1.36362356366495	2.13517767879094	0.592069448538966	protein_coding	STARD13	40.86	5.51155302956545e-05	diagnosisAD	CTR	1557	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.08765782321431	639
ENSG00000197818	7.38831339578803e-07	-0.168395224295928	-0.0774228620006888	-0.259367586591166	protein_coding	SLC9A8	45.56	5.79904002490682e-05	diagnosisAD	CTR	2172	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.437207353912239	3105
ENSG00000177885	7.81303191908178e-07	-0.766898442081389	-0.463956029336911	-1.06984085482587	protein_coding	GRB2	44.22	6.00464057281098e-05	diagnosisAD	CTR	1237	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.6081387762108	396
ENSG00000083168	8.89255247104851e-07	-0.402514560794608	-0.236435427976388	-0.568593693612828	protein_coding	KAT6A	38.89	6.69441317489173e-05	diagnosisAD	CTR	12	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.20146047021439	1689
ENSG00000196498	9.07347949971771e-07	-0.371105845116591	-0.225466702914633	-0.516744987318549	protein_coding	NCOR2	57.37	6.69441317489173e-05	diagnosisAD	CTR	716	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.8264348358075	709
ENSG00000134686	9.34121236271521e-07	-1.1897280527747	-0.70500680916374	-1.67444929638566	protein_coding	PHC2	45.03	6.75681027569733e-05	diagnosisAD	CTR	1077	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	6.28881661543144	258
ENSG00000082212	9.91909354930646e-07	-0.336051212776054	-0.164370834536209	-0.507731591015899	protein_coding	ME2	38.58	7.03683386603683e-05	diagnosisAD	CTR	1689	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.00660662424107	1951
ENSG00000131171	1.1533483905429e-06	-0.630396476826168	-0.307952328472068	-0.952840625180268	protein_coding	SH3BGRL	37.47	8.02774002398635e-05	diagnosisAD	CTR	492	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	5.83929039474859	282
ENSG00000079805	1.24797669392271e-06	-0.664774934659746	-0.391804673120776	-0.937745196198715	protein_coding	DNM2	53.07	8.52552967385348e-05	diagnosisAD	CTR	301	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.44946563863961	829
ENSG00000162636	1.2743962716083e-06	-0.395742589884138	-0.232147633070886	-0.55933754669739	protein_coding	FAM102B	39.64	8.5477233562964e-05	diagnosisAD	CTR	360	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.22888368312971	1649
ENSG00000150593	1.49968796080522e-06	0.33341438192046	0.523832348848929	0.142996414991991	protein_coding	PDCD4	34.69	9.87919444180439e-05	diagnosisAD	CTR	2270	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.63817363828178	1278
ENSG00000076641	1.5508807186353e-06	-0.433705180853705	-0.208594822598206	-0.658815539109204	protein_coding	PAG1	40.56	0.00010037191177273	diagnosisAD	CTR	3447	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.77811453572195	1173
ENSG00000073849	1.61878251280253e-06	-0.459882190747955	-0.0644944707030937	-0.855269910792816	protein_coding	ST6GAL1	44.38	0.000102960149822906	diagnosisAD	CTR	3086	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.83528384577936	372
ENSG00000114541	1.71095526125052e-06	1.5065040597051	2.08517303156506	0.927835087845147	protein_coding	FRMD4B	41.41	0.000106978202690732	diagnosisAD	CTR	251	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.63479801927461	526
ENSG00000100650	1.89386869811398e-06	0.674428689493704	0.940208968066841	0.408648410920567	protein_coding	SRSF5	43.68	0.000116441360455708	diagnosisAD	CTR	3552	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.8210169562473	1146
