ensembl_gene_id	pval	logFC	ci.hi	ci.lo	gene_biotype	gene	percentage_gene_gc_content	padj	contrast	reference	FCRO	model	variance	variance_rank
ENSG00000157483	1.35051103431103e-12	1.07336208539575	1.41466941758374	0.732054753207755	protein_coding	MYO1E	43.51	4.04795239446944e-09	diagnosisAD	CTR	3412	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.34636661385445	610
ENSG00000157657	3.28478690381616e-12	0.622396241694371	0.829259129792798	0.415533353595944	protein_coding	ZNF618	45.61	4.04795239446944e-09	diagnosisAD	CTR	959	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.20034396920637	1774
ENSG00000171643	3.25771620835835e-12	-0.808003755935694	-0.563694871512023	-1.05231264035937	protein_coding	S100Z	43.71	4.04795239446944e-09	diagnosisAD	CTR	1825	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.07075449083395	1042
ENSG00000120071	1.91639923749173e-11	-0.568608409197216	-0.294349684702555	-0.842867133691876	protein_coding	KANSL1	40.92	1.77123199525173e-08	diagnosisAD	CTR	3539	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	9.70140036938777	146
ENSG00000099250	4.85885014978357e-11	1.41926939268704	1.98405094731963	0.85448783805445	protein_coding	NRP1	41.34	3.59263380074997e-08	diagnosisAD	CTR	1636	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.78898840573739	529
ENSG00000102572	1.0299657784199e-10	-0.308145413086995	-0.212580116115493	-0.403710710058497	protein_coding	STK24	47.42	6.34630580469726e-08	diagnosisAD	CTR	2896	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.374124963082478	3266
ENSG00000143398	2.23296418198522e-10	-0.525485064354202	-0.348205032976839	-0.702765095731564	protein_coding	PIP5K1A	45.21	1.17932408297134e-07	diagnosisAD	CTR	1571	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.689333696209027	2554
ENSG00000065060	2.79677374010277e-10	0.373797457959337	0.501718593731284	0.24587632218739	protein_coding	UHRF1BP1	42.65	1.29245906464499e-07	diagnosisAD	CTR	3332	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.674482524728282	2581
ENSG00000003756	3.47392633189557e-10	0.428480035506593	0.558874340553555	0.29808573045963	protein_coding	RBM5	44.45	1.42701173877977e-07	diagnosisAD	CTR	2254	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.814807910715132	2318
ENSG00000168461	4.44373862746305e-10	-1.16205649909812	-0.805980193229599	-1.51813280496664	protein_coding	RAB31	43.6	1.64285017057309e-07	diagnosisAD	CTR	1582	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	18.2195205285438	43
ENSG00000007237	8.11638083166816e-10	1.81144253441184	2.35219967061341	1.27068539821027	protein_coding	GAS7	47.97	2.72784181224338e-07	diagnosisAD	CTR	1457	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.22559485625246	463
ENSG00000168675	1.05707246052172e-09	-2.07897653955837	-1.33229554149039	-2.82565753762636	protein_coding	LDLRAD4	46.44	3.25666407212399e-07	diagnosisAD	CTR	3657	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	12.0571709964179	104
ENSG00000123983	1.85133426383216e-09	-0.301550334492602	-0.204395860554072	-0.398704808431132	protein_coding	ACSL3	39.46	5.2649098256827e-07	diagnosisAD	CTR	543	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.647078000607881	2640
ENSG00000187672	2.59737628541758e-09	-1.78329729088923	-0.890814915393656	-2.6757796663848	protein_coding	ERC2	40.68	6.85892866227771e-07	diagnosisAD	CTR	1862	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	16.2143686090268	62
ENSG00000059377	5.45723723104734e-09	-1.11440612856935	-0.707707772193449	-1.52110448494526	protein_coding	TBXAS1	44.8	1.34502706954547e-06	diagnosisAD	CTR	3033	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	3.44046309106688	591
ENSG00000167522	6.17030265556258e-09	-0.960528159080011	-0.591161818622911	-1.32989449953711	protein_coding	ANKRD11	51.19	1.42572555735093e-06	diagnosisAD	CTR	1309	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.46795495859014	432
ENSG00000055130	8.89536455278731e-09	-0.723525822400493	-0.419275538833206	-1.02777610596778	protein_coding	CUL1	41.21	1.93448016186204e-06	diagnosisAD	CTR	873	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	4.95867333078766	385
ENSG00000132405	1.45530528213662e-08	-1.95528807113396	-1.02251729144232	-2.88805885082559	protein_coding	TBC1D14	49.5	2.9890353489217e-06	diagnosisAD	CTR	2664	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	19.6485574289954	34
ENSG00000165246	1.7954737395181e-08	-4.02043211354982e-11	1.52751952111876e-07	-1.52832360754147e-07	protein_coding	NLGN4Y	38.63	3.49361390263074e-06	diagnosisAD	CTR	1955	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	16.4316132432529	58
ENSG00000132122	2.04065633286689e-08	-1.6783835574942	-0.949047040679488	-2.40772007430892	protein_coding	SPATA6	37.04	3.77215323130445e-06	diagnosisAD	CTR	1341	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	15.6820620124386	67
ENSG00000152348	2.34200566911202e-08	-0.474976455514408	-0.196472421635649	-0.753480489393168	protein_coding	ATG10	38.03	4.12304521843197e-06	diagnosisAD	CTR	1753	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	2.01984016763233	1072
ENSG00000172985	2.60499910049722e-08	-1.08757887843864	-0.377739407564829	-1.79741834931245	protein_coding	SH3RF3	48.61	4.37758257933556e-06	diagnosisAD	CTR	1942	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	13.6691378641337	78
ENSG00000108557	2.72806490590285e-08	-0.208703019318206	-0.117706580846806	-0.299699457789606	protein_coding	RAI1	56.45	4.38506780744471e-06	diagnosisAD	CTR	3458	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	0.40367960387433	3201
ENSG00000067066	3.14618074203565e-08	-0.898228724729409	-0.53113835126784	-1.26531909819098	protein_coding	SP100	39.21	4.65257208132232e-06	diagnosisAD	CTR	43	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	5.5968654171982	327
ENSG00000183826	3.02796162476559e-08	-0.486292379287103	-0.253772017291153	-0.718812741283054	protein_coding	BTBD9	40.63	4.65257208132232e-06	diagnosisAD	CTR	1549	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	1.15966839969288	1828
ENSG00000228696	3.36567388962263e-08	-3.67612875474044	-2.05919768386171	-5.29305982561916	protein_coding	ARL17B	43.65	4.78572937305188e-06	diagnosisAD	CTR	1747	~diagnosis+(1|manifest)+cngeneson+pc_mito+brain_region+sex+RIN	23.8173651379816	20
