geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043535	regulation of blood vessel endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0043535	88	6	0.343213728549142	17.48181818181818	1.1733893825471853e-6	0.009895192663020413	348;8829;9734;10000;22846;90627	NRP1;STARD13;HDAC9;AKT3;VASH1;APOE
GO:0043534	blood vessel endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0043534	112	6	0.43681747269890797	13.735714285714286	4.8159846602890966e-6	0.020306599320108976	348;8829;9734;10000;22846;90627	NRP1;STARD13;HDAC9;AKT3;VASH1;APOE
GO:0090049	regulation of cell migration involved in sprouting angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0090049	38	4	0.1482059282371295	26.989473684210523	1.4078073059975438e-5	0.03833173480137836	8829;9734;10000;90627	NRP1;STARD13;HDAC9;AKT3
GO:0010632	regulation of epithelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010632	212	7	0.826833073322933	8.466037735849056	1.8181778632220258e-5	0.03833173480137836	348;8829;9734;10000;22846;80005;90627	NRP1;STARD13;HDAC9;AKT3;VASH1;APOE;DOCK5
GO:0010594	regulation of endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010594	151	6	0.5889235569422777	10.188079470198675	2.662578069689836e-5	0.03912990783343684	348;8829;9734;10000;22846;90627	NRP1;STARD13;HDAC9;AKT3;VASH1;APOE
GO:0034198	cellular response to amino acid starvation	http://amigo.geneontology.org/amigo/term/GO:0034198	45	4	0.17550702028081125	22.79111111111111	2.7840560536063208e-5	0.03912990783343684	4217;27244;54407;143686	SESN1;SESN3;SLC38A2;MAP3K5
GO:1990928	response to amino acid starvation	http://amigo.geneontology.org/amigo/term/GO:1990928	47	4	0.18330733229329174	21.82127659574468	3.313417304784405e-5	0.03991721161606698	4217;27244;54407;143686	SESN1;SESN3;SLC38A2;MAP3K5
GO:0002042	cell migration involved in sprouting angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0002042	54	4	0.2106084243369735	18.99259259259259	5.7558870120266725e-5	0.06067424396552616	8829;9734;10000;90627	NRP1;STARD13;HDAC9;AKT3
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0090050	21	3	0.08190327613104524	36.628571428571426	7.162257496484692e-5	0.06711035274206156	8829;9734;10000	NRP1;HDAC9;AKT3
GO:0010631	epithelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010631	274	7	1.0686427457098284	6.550364963503649	9.274474734932703e-5	0.0685000684821465	348;8829;9734;10000;22846;80005;90627	NRP1;STARD13;HDAC9;AKT3;VASH1;APOE;DOCK5
