geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:1900408	negative regulation of cellular response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:1900408	44	4	0.12144485779431179	32.936758893280626	6.359493910146341e-6	0.02140275950519932	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:1903202	negative regulation of oxidative stress-induced cell death	http://amigo.geneontology.org/amigo/term/GO:1903202	44	4	0.12144485779431179	32.936758893280626	6.359493910146341e-6	0.02140275950519932	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:1902883	negative regulation of response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:1902883	46	4	0.12696507860314413	31.504725897920604	7.613930809391434e-6	0.02140275950519932	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:1903201	regulation of oxidative stress-induced cell death	http://amigo.geneontology.org/amigo/term/GO:1903201	63	4	0.17388695547821914	23.00345065562457	2.68567792749419e-5	0.05662080490639626	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:0048813	dendrite morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048813	137	5	0.3781351254050162	13.222786417010473	3.647541039764057e-5	0.06151942717666059	8301;8829;23327;55619;120892	NRP1;LRRK2;DOCK10;PICALM;NEDD4L
GO:1900407	regulation of cellular response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:1900407	74	4	0.2042481699267971	19.584018801410103	5.0741682960930845e-5	0.0713174354015883	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:0036473	cell death in response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:0036473	82	4	0.2263290531621265	17.673382820784727	7.5899813435365e-5	0.08790726871527549	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:1902882	regulation of response to oxidative stress	http://amigo.geneontology.org/amigo/term/GO:1902882	84	4	0.23184927397095886	17.252587991718425	8.33935906228156e-5	0.08790726871527549	5660;10533;55074;120892	ATG7;LRRK2;OXR1;PSAP
GO:1904683	regulation of metalloendopeptidase activity	http://amigo.geneontology.org/amigo/term/GO:1904683	6	2	0.01656066242649706	120.76811594202898	1.1101076579977942e-4	0.09361537879895399	6653;8301	SORL1;PICALM
GO:1905049	negative regulation of metallopeptidase activity	http://amigo.geneontology.org/amigo/term/GO:1905049	6	2	0.01656066242649706	120.76811594202898	1.1101076579977942e-4	0.09361537879895399	6653;8301	SORL1;PICALM
