geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006614	95	18	1.4307572302892115	12.580750681484588	3.3306690738754696e-15	2.8087532299991835e-11	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0006613	cotranslational protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006613	99	18	1.4909996399855994	12.072437522636726	7.327471962526033e-15	3.089628552999102e-11	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0045047	protein targeting to ER	http://amigo.geneontology.org/amigo/term/GO:0045047	107	18	1.611484459378375	11.169825371411552	3.042011087472929e-14	8.551093166886403e-11	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0072599	establishment of protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0072599	111	18	1.6717268690747629	10.767309141811134	5.906386491005833e-14	1.2452139319663047e-10	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	137	19	2.063302532101284	9.208538110332393	2.1893598045608087e-13	3.358020528310135e-10	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311;120892	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;LRRK2;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	http://amigo.geneontology.org/amigo/term/GO:0000184	120	18	1.8072722908916357	9.959760956175298	2.389199948993337e-13	3.358020528310135e-10	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0000956	nuclear-transcribed mRNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0000956	206	22	3.1024840993639744	7.09109194290798	6.233902283270254e-13	7.510071136402579e-10	472;678;6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311;23034;23112	RPS13;RPL12;UBA52;RPL29;RPL34;TNRC6B;RPS5;RPL18;RPL35A;RPL15;SAMD4A;RPL27A;ATM;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;ZFP36L2;RPS16
GO:0006612	protein targeting to membrane	http://amigo.geneontology.org/amigo/term/GO:0006612	187	20	2.8163326533061324	7.101433836845133	7.087885833811924e-12	7.471517654566995e-9	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311;9847;84938	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;ATG4C;RPL27;RPS7;C2CD5;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	192	18	2.891635665426617	6.224850597609562	7.243095012654521e-10	6.786780026857286e-7	6130;6134;6136;6138;6141;6155;6156;6157;6159;6164;6165;6169;6193;6201;6207;6217;6228;7311	RPS13;RPL12;UBA52;RPL29;RPL34;RPS5;RPL18;RPL35A;RPL15;RPL27A;RPL30;RPL27;RPS7;RPL10;RPL38;RPS23;RPL7A;RPS16
GO:0010631	epithelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010631	274	19	4.126605064202568	4.6042690551661964	3.590722552626602e-8	3.0280563286300133e-5	348;2876;4208;5175;5290;5586;5607;5613;6868;8829;9734;9839;22846;23473;51466;54828;80005;90627;161742	NRP1;HDAC9;PKN2;STARD13;ZEB2;APOE;MAP2K5;PECAM1;SPRED1;MEF2C;CAPN7;EVL;VASH1;PIK3CA;PRKX;BCAS3;ADAM17;DOCK5;GPX1
