Gene Set;Description;Size;Expect;Ratio;P Value;FDR;Cluster
GO:0043535;regulation of blood vessel endothelial cell migration;88;0.34321;17.482;0.0000011734;0.0098952;0
GO:0043534;blood vessel endothelial cell migration;112;0.43682;13.736;0.0000048160;0.020307;0
GO:0090049;regulation of cell migration involved in sprouting angiogenesis;38;0.14821;26.989;0.000014078;0.038332;0
GO:0010632;regulation of epithelial cell migration;212;0.82683;8.4660;0.000018182;0.038332;0
GO:0010594;regulation of endothelial cell migration;151;0.58892;10.188;0.000026626;0.039130;0
GO:0034198;cellular response to amino acid starvation;45;0.17551;22.791;0.000027841;0.039130;0
GO:1990928;response to amino acid starvation;47;0.18331;21.821;0.000033134;0.039917;0
GO:0002042;cell migration involved in sprouting angiogenesis;54;0.21061;18.993;0.000057559;0.060674;0
GO:0090050;positive regulation of cell migration involved in sprouting angiogenesis;21;0.081903;36.629;0.000071623;0.067110;0
GO:0010631;epithelial cell migration;274;1.0686;6.5504;0.000092745;0.068500;0
GO:0048008;platelet-derived growth factor receptor signaling pathway;53;0.32119;15.567;0.000016856;0.066378;1
GO:0001782;B cell homeostasis;29;0.17575;22.760;0.000026860;0.066378;1
GO:0046651;lymphocyte proliferation;264;1.5999;5.6253;0.000032133;0.066378;1
GO:0032943;mononuclear cell proliferation;266;1.6120;5.5830;0.000034087;0.066378;1
GO:0002260;lymphocyte homeostasis;63;0.38180;13.096;0.000039356;0.066378;1
GO:0070661;leukocyte proliferation;281;1.7029;5.2850;0.000052212;0.069373;1
GO:0014911;positive regulation of smooth muscle cell migration;35;0.21211;18.858;0.000057584;0.069373;1
GO:0090049;regulation of cell migration involved in sprouting angiogenesis;38;0.23029;17.369;0.000080056;0.084389;1
GO:0101023;vascular endothelial cell proliferation;18;0.10908;27.502;0.00016500;0.13314;1
GO:1905562;regulation of vascular endothelial cell proliferation;18;0.10908;27.502;0.00016500;0.13314;1
GO:1900408;negative regulation of cellular response to oxidative stress;44;0.12144;32.937;0.0000063595;0.021403;2
GO:1903202;negative regulation of oxidative stress-induced cell death;44;0.12144;32.937;0.0000063595;0.021403;2
GO:1902883;negative regulation of response to oxidative stress;46;0.12697;31.505;0.0000076139;0.021403;2
GO:1903201;regulation of oxidative stress-induced cell death;63;0.17389;23.003;0.000026857;0.056621;2
GO:0048813;dendrite morphogenesis;137;0.37814;13.223;0.000036475;0.061519;2
GO:1900407;regulation of cellular response to oxidative stress;74;0.20425;19.584;0.000050742;0.071317;2
GO:0036473;cell death in response to oxidative stress;82;0.22633;17.673;0.000075900;0.087907;2
GO:1902882;regulation of response to oxidative stress;84;0.23185;17.253;0.000083394;0.087907;2
GO:1904683;regulation of metalloendopeptidase activity;6;0.016561;120.77;0.00011101;0.093615;2
GO:1905049;negative regulation of metallopeptidase activity;6;0.016561;120.77;0.00011101;0.093615;2
GO:0006614;SRP-dependent cotranslational protein targeting to membrane;95;1.4308;12.581;3.3307e-15;2.8088e-11;3
GO:0006613;cotranslational protein targeting to membrane;99;1.4910;12.072;7.3275e-15;3.0896e-11;3
GO:0045047;protein targeting to ER;107;1.6115;11.170;3.0420e-14;8.5511e-11;3
GO:0072599;establishment of protein localization to endoplasmic reticulum;111;1.6717;10.767;5.9064e-14;1.2452e-10;3
GO:0070972;protein localization to endoplasmic reticulum;137;2.0633;9.2085;2.1894e-13;3.3580e-10;3
GO:0000184;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;120;1.8073;9.9598;2.3892e-13;3.3580e-10;3
GO:0000956;nuclear-transcribed mRNA catabolic process;206;3.1025;7.0911;6.2339e-13;7.5101e-10;3
GO:0006612;protein targeting to membrane;187;2.8163;7.1014;7.0879e-12;7.4715e-9;3
GO:0006413;translational initiation;192;2.8916;6.2249;7.2431e-10;6.7868e-7;3
GO:0010631;epithelial cell migration;274;4.1266;4.6043;3.5907e-8;0.000030281;3
GO:0032869;cellular response to insulin stimulus;209;0.43892;13.670;0.0000043379;0.036582;4
GO:0008286;insulin receptor signaling pathway;137;0.28771;17.379;0.0000092879;0.039162;4
GO:0032868;response to insulin;264;0.55442;10.822;0.000016474;0.039859;4
GO:0051894;positive regulation of focal adhesion assembly;25;0.052502;57.141;0.000018906;0.039859;4
GO:1903393;positive regulation of adherens junction organization;31;0.065103;46.081;0.000036632;0.061783;4
GO:1901890;positive regulation of cell junction assembly;33;0.069303;43.288;0.000044336;0.062314;4
GO:0001954;positive regulation of cell-matrix adhesion;50;0.10500;28.570;0.00015542;0.18724;4
GO:0048008;platelet-derived growth factor receptor signaling pathway;53;0.11130;26.953;0.00018496;0.19497;4
GO:0038127;ERBB signaling pathway;141;0.29611;13.508;0.00020967;0.19646;4
GO:0051893;regulation of focal adhesion assembly;60;0.12601;23.809;0.00026748;0.20506;4
