geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0042113	B cell activation	http://amigo.geneontology.org/amigo/term/GO:0042113	233	12	1.6357254290171608	7.336194563662374	8.831272602094487e-8	7.44741218534628e-4	596;678;972;975;1316;4853;5579;6778;6868;9734;55619;64092	BCL2;DOCK10;NOTCH2;KLF6;CD81;STAT6;ADAM17;HDAC9;PRKCB;ZFP36L2;SAMSN1;CD74
GO:0048008	platelet-derived growth factor receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0048008	53	6	0.3720748829953198	16.12578616352201	1.8456706578628967e-6	0.007782270328878904	4035;4643;8826;8829;56034;84159	MYO1E;ARID5B;NRP1;IQGAP1;LRP1;PDGFC
GO:1902105	regulation of leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:1902105	263	10	1.8463338533541342	5.416138572032108	1.6362124969582226e-5	0.03909216656744424	678;972;1021;2778;3600;3965;4286;4853;55294;57630	FBXW7;SH3RF1;CDK6;NOTCH2;IL15;MITF;GNAS;LGALS9;ZFP36L2;CD74
GO:0010632	regulation of epithelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010632	212	9	1.4882995319812793	6.047169811320755	1.8542471987403886e-5	0.03909216656744424	1793;5468;5793;6868;8829;9734;55294;80005;90627	PTPRG;STARD13;DOCK1;FBXW7;PPARG;NRP1;DOCK5;ADAM17;HDAC9
GO:0030183	B cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030183	124	7	0.8705148205928237	8.04121863799283	2.6826284147629664e-5	0.04299390217254895	596;678;1316;4853;6868;9734;55619	BCL2;DOCK10;NOTCH2;KLF6;ADAM17;HDAC9;ZFP36L2
GO:0001776	leukocyte homeostasis	http://amigo.geneontology.org/amigo/term/GO:0001776	87	6	0.6107644305772231	9.82375478927203	3.3444631375223466e-5	0.04299390217254895	596;972;3965;5027;6868;55619	BCL2;DOCK10;ADAM17;P2RX7;LGALS9;CD74
GO:0043535	regulation of blood vessel endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0043535	88	6	0.6177847113884556	9.712121212121211	3.568804876175058e-5	0.04299390217254895	5468;6868;8829;9734;55294;90627	STARD13;FBXW7;PPARG;NRP1;ADAM17;HDAC9
GO:0070374	positive regulation of ERK1 and ERK2 cascade	http://amigo.geneontology.org/amigo/term/GO:0070374	235	9	1.6497659906396256	5.45531914893617	4.16731448027452e-5	0.04392870376519378	972;2321;3965;4853;8829;9258;10457;55294;56034	GPNMB;MFHAS1;FLT1;FBXW7;NRP1;NOTCH2;LGALS9;PDGFC;CD74
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0050730	244	9	1.7129485179407178	5.254098360655737	5.577760273367538e-5	0.044051653362834904	972;975;3600;6868;8826;8829;55294;56034;64092	FBXW7;NRP1;CD81;IL15;ADAM17;IQGAP1;PDGFC;SAMSN1;CD74
GO:0014910	regulation of smooth muscle cell migration	http://amigo.geneontology.org/amigo/term/GO:0014910	59	5	0.4141965678627145	12.07156308851224	5.7890255952042224e-5	0.044051653362834904	596;4035;8826;8829;80005	BCL2;NRP1;DOCK5;IQGAP1;LRP1
