geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0051085	chaperone cofactor-dependent protein refolding	http://amigo.geneontology.org/amigo/term/GO:0051085	27	3	0.0874834993399736	34.29218106995885	8.901403286465381e-5	0.25942752960846077	972;3303;10808	HSPA1A;CD74;HSPH1
GO:0051084	'de novo' posttranslational protein folding	http://amigo.geneontology.org/amigo/term/GO:0051084	32	3	0.10368414736589464	28.93402777777778	1.4922369885161935e-4	0.25942752960846077	972;3303;10808	HSPA1A;CD74;HSPH1
GO:0071868	cellular response to monoamine stimulus	http://amigo.geneontology.org/amigo/term/GO:0071868	34	3	0.11016440657626306	27.232026143790847	1.7920819855055115e-4	0.25942752960846077	6622;54331;120892	GNG2;LRRK2;SNCA
GO:0071870	cellular response to catecholamine stimulus	http://amigo.geneontology.org/amigo/term/GO:0071870	34	3	0.11016440657626306	27.232026143790847	1.7920819855055115e-4	0.25942752960846077	6622;54331;120892	GNG2;LRRK2;SNCA
GO:0006458	'de novo' protein folding	http://amigo.geneontology.org/amigo/term/GO:0006458	36	3	0.11664466578663146	25.719135802469136	2.1285070884002888e-4	0.25942752960846077	972;3303;10808	HSPA1A;CD74;HSPH1
GO:0071867	response to monoamine	http://amigo.geneontology.org/amigo/term/GO:0071867	38	3	0.12312492499699988	24.36549707602339	2.503366840536092e-4	0.25942752960846077	6622;54331;120892	GNG2;LRRK2;SNCA
GO:0071869	response to catecholamine	http://amigo.geneontology.org/amigo/term/GO:0071869	38	3	0.12312492499699988	24.36549707602339	2.503366840536092e-4	0.25942752960846077	6622;54331;120892	GNG2;LRRK2;SNCA
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	http://amigo.geneontology.org/amigo/term/GO:2001243	95	4	0.3078123124924997	12.994931773879143	2.518946537578559e-4	0.25942752960846077	972;3303;7178;120892	HSPA1A;CD74;TPT1;LRRK2
GO:1904714	regulation of chaperone-mediated autophagy	http://amigo.geneontology.org/amigo/term/GO:1904714	8	2	0.02592103684147366	77.1574074074074	2.849491642236135e-4	0.25942752960846077	2670;6622	GFAP;SNCA
GO:0019058	viral life cycle	http://amigo.geneontology.org/amigo/term/GO:0019058	285	6	0.9234369374774991	6.497465886939571	3.076337360470305e-4	0.25942752960846077	972;975;3303;5094;7316;89849	CD81;HSPA1A;CD74;ATG16L2;PCBP2;UBC
